"","LoC_classifications","title","downloads","author_birthdate","author_deathdate","author_name","pub_day","pub_date_full","pub_month","pub_month_name","pub_year","difficulty.ari","difficulty.coleman","difficulty.dale","difficulty.vocabulary","difficulty.flesch.grade","difficulty.flesch.ease","difficulty.gunning","difficulty.linsear","difficulty.smog","polarity","subjectivity","avg_letter_per_word","avg_sentence_length","sentences_over_words","characters","polysyllables","sentences","syllables","words"
"1","PR","Pride and Prejudice",36576,1775,1817,"Austen, Jane",1,"June, 1998",6,"June",1998,10.7,10.73,5.7,9032,7.9,70.13,9.2,13.5,3.1,0.136713377605004,0.522239149470469,4.83,18,0.05,586794,4603,6511,170648.1,121533
"2","PS","The Yellow Wallpaper",26363,1860,1935,"Gilman, Charlotte Perkins",1,"November, 1999",11,"November",1999,7.2,8,6.24,714,5.6,81.63,8,5.5,3.1,0.0541742933650127,0.534787426408208,4.41,15,0.06,26769,102,385,7686.9,6067
"3","PZ,PR","Alice's Adventures in Wonderland",18882,1832,1898,"Carroll, Lewis",1,"March, 1994",3,"March",1994,9.3,9.39,5.93,2425,6.4,79.6,8.8,14,3.1,0.041078608749446,0.497276367112719,4.65,17,0.06,122719,339,1501,33810.3,26389
"4","PR","Frankenstein; Or, The Modern Prometheus",17128,1797,1851,"Shelley, Mary Wollstonecraft",17,"June 17, 2008",6,"June",2008,12.6,10.68,6.44,7884,9.9,65.05,11.2,7,3.1,0.100901536274653,0.539516148755176,4.77,23,0.04,357604,2604,3239,106802.1,74959
"5","PT","Metamorphosis",15683,1883,1924,"Kafka, Franz",16,"August 16, 2005",8,"August",2005,13.8,9.46,6.37,1947,10.3,69.45,12.8,10.5,3.1,0.0419969356709264,0.479019215469139,4.56,27,0.04,100372,397,800,28752.3,22022
"6","PS","Adventures of Huckleberry Finn",15347,1835,1910,"Twain, Mark",20,"August 20, 2006",8,"August",2006,8.7,8.01,5.59,7087,6,86.03,9.6,2.5,3.1,0.0893192586201818,0.474518795163008,4.36,19,0.05,485099,1180,5792,132642.9,111219
"7","PR","The Importance of Being Earnest: A Trivial Comedy for Serious People",13638,1854,1900,"Wilde, Oscar",29,"August 29, 2006",8,"August",2006,7,9.89,5.96,2387,4.8,78.25,6,3,3.1,0.100269685142806,0.534784343060185,4.94,10,0.1,101906,555,1994,29187,20625
"8","PZ,PS","The Adventures of Tom Sawyer",13237,1835,1910,"Twain, Mark",20,"August 20, 2006",8,"August",2006,8.8,10.15,6.16,7974,5.6,81.63,8,4.5,3.1,0.0647610782956226,0.487048443781586,4.78,15,0.06,338075,1488,4594,92593.8,70796
"9","E300","Narrative of the Life of Frederick Douglass, an American Slave",12794,1818,1895,"Douglass, Frederick",10,"January 10, 2006",1,"January",2006,10.5,9.86,6.48,4894,8.3,69.11,9.6,7,3.1,0.0938781358404583,0.507429646087501,4.68,19,0.05,190493,1226,2062,55913.4,40740
"10","PT","A Doll's House : a play",11625,1828,1906,"Ibsen, Henrik",1,"March, 2001",3,"March",2001,5.3,7.98,5.53,2342,3.7,86.71,6,4,3.1,0.0262617279411884,0.580521507992437,4.61,10,0.1,121943,378,2624,33722.1,26466
"11","PS","Moby Dick; Or, The Whale",11270,1819,1891,"Melville, Herman",1,"June, 2001",6,"June",2001,13.4,11.55,6.5,23167,9.9,65.05,11.2,11,3.1,0.082286453463764,0.478049261337892,4.92,23,0.04,1043045,6639,9104,294744.6,212099
"12","PR","The Adventures of Sherlock Holmes",11125,1859,1930,"Doyle, Arthur Conan",14,"October 14, 1892",10,"October",1892,8.2,9.1,5.81,9148,6,80.62,8.4,2.5,3.1,0.0625914379743936,0.486681847387158,4.6,16,0.06,480294,1978,6522,137215.8,104488
"13","PR","Great Expectations",11068,1812,1870,"Dickens, Charles",1,"July, 1998",7,"July",1998,9.9,9.34,5.8,14224,7.2,77.57,9.6,7.5,3.1,0.0779836848583093,0.49062423531283,4.59,19,0.05,845501,4088,9487,240762.6,184398
"14","PR","Ulysses",10568,1882,1941,"Joyce, James",1,"July, 2003",7,"July",2003,8.6,10.84,6.35,34649,6,75.2,7.2,6,3.1,0.0712303578872472,0.46306693286287,4.95,13,0.07,1311231,7005,19726,363292.2,264835
"15","PR","A Tale of Two Cities",10312,1812,1870,"Dickens, Charles",1,"January, 1994",1,"January",1994,10.3,10.44,6,12613,6.8,78.59,9.2,56,3.1,0.078066102045658,0.490453205571702,4.78,18,0.05,649070,3256,7396,183016.8,135820
"16","PR","A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick",10014,1667,1745,"Swift, Jonathan",1,"October 1997",10,"October",1997,26.6,11.91,9.24,674,20.4,37.65,22,18,8.8,0.175691458503959,0.506458345520845,4.88,50,0.02,16656,86,68,4864.5,3410
"17","PR","Dracula",9852,1847,1912,"Stoker, Bram",16,"August 16, 2013",8,"August",2013,8.8,8.3,5.65,11445,6.8,78.59,9.2,18,3.1,0.075270589540311,0.503039209763264,4.41,18,0.05,708335,2338,8522,202932.9,160693
"18","JC","The Prince",9690,1469,1527,"Machiavelli, Niccolo",11,"February 11, 2006",2,"February",2006,20.6,11.33,7.23,5367,15.8,49.83,17.2,6.5,8.8,0.146546817780413,0.520413361246458,4.83,38,0.03,239378,1905,1287,71705.7,49525
"19","PR","The Picture of Dorian Gray",9681,1854,1900,"Wilde, Oscar",9,"June 9, 2008",6,"June",2008,6.7,8.69,5.74,7523,4.4,84.68,6.8,4.5,3.1,0.0699138196498992,0.545897334130377,4.63,12,0.08,365606,1647,6234,105003.9,78920
"20","PG","War and Peace",9580,1828,1910,"Tolstoy, Leo, graf",1,"January 1, 1870",1,"January",1870,10.8,11.14,5.36,29647,7.9,70.13,9.2,53,3.1,0.0820664171173397,0.474015115582443,4.9,18,0.05,2759940,16369,30757,787942.8,563029
"21","PT","Grimms' Fairy Tales",9016,1786,1859,"Grimm, Wilhelm",1,"April, 2001",4,"April",2001,10.5,8.01,1.91,4955,7.5,81.97,11.2,13,3.1,0.106611174647935,0.484139715862806,4.31,23,0.04,435880,394,4355,121229.1,101107
"22","HQ","The Kama Sutra of Vatsyayana: Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks",8559,0,0,"Vatsyayana",18,"January 18, 2009",1,"January",2009,13.5,10.91,6.36,5708,10.3,64.04,11.6,6,3.1,0.131070129536114,0.464220650999431,4.81,24,0.04,283286,1464,2397,81087.3,58912
"23","PR","Emma",8513,1775,1817,"Austen, Jane",1,"August, 1994",8,"August",1994,9.6,10.26,5.68,12447,7.2,72.16,8.4,18,3.1,0.157109182497322,0.542307345002758,4.8,16,0.06,755056,4851,9348,216434.7,157439
"24","PR","Beowulf: An Anglo-Saxon Epic Poem",8199,0,0,"Unknown",19,"July 19, 2005",7,"July",2005,13.3,14.03,7.5,7311,7.9,70.13,9.2,8,3.1,0.137128603616211,0.537179013275995,5.45,18,0.06,211970,900,2142,54235.8,38925
"25","PQ","Les Misérables",7900,1802,1885,"Hugo, Victor",22,"June 22, 2008",6,"June",2008,10.2,11.02,5.51,38795,7.2,72.16,8.4,6.5,3.1,0.0777559225920661,0.494210060487325,4.93,16,0.06,2783024,17239,33543,790112.7,565071
"26","PR","The Romance of Lust: A Classic Victorian erotic novel",7458,0,0,"Anonymous",14,"October 14, 2009",10,"October",2009,12.9,9.93,5.68,10266,10.3,64.04,11.6,7,3.1,0.191171161846855,0.546651448065767,4.64,24,0.04,876698,4879,7588,256281.3,188911
"27","PR","Jane Eyre: An Autobiography",7449,1816,1855,"Bronte, Charlotte",29,"April 29, 2007",4,"April",2007,10.4,10.1,6.17,18723,8.3,69.11,9.6,8.5,3.1,0.0841139886145198,0.502561130287383,4.72,19,0.05,876153,4697,9674,250376.4,185452
"28","PS","Leaves of Grass",6899,1819,1892,"Whitman, Walt",1,"May, 1998",5,"May",1998,19.1,12.25,7.34,15547,14.2,53.89,15.6,26,3.1,0.144744905741279,0.507637808916326,4.99,34,0.03,607831,2727,3570,165151.8,121711
"29","PR","Dubliners",6879,1882,1941,"Joyce, James",1,"September, 2001",9,"September",2001,8,9.21,6,7147,5.2,82.65,7.6,17,3.1,0.0680949292407442,0.472371205835949,4.67,14,0.07,315667,1148,4530,88344,67546
"30","PR","Sense and Sensibility",6503,1775,1817,"Austen, Jane",25,"May 25, 2008",5,"May",2008,12.3,10.85,5.9,9203,9.1,67.08,10.4,13.5,3.1,0.131879813586973,0.532545130961345,4.85,21,0.05,574844,3913,5447,167003.1,118578
"31","JC","Leviathan",6411,1588,1679,"Hobbes, Thomas",1,"May, 2002",5,"May",2002,20.6,11.56,6.72,16169,15.8,49.83,17.2,11,8.8,0.116167826977523,0.464300383111618,4.87,38,0.03,1038638,7741,5581,305930.7,213304
"32","PR","The Strange Case of Dr. Jekyll and Mr. Hyde",6410,1850,1894,"Stevenson, Robert Louis",1,"October, 1992",10,"October",1992,11,9.63,6.82,3485,7.9,75.54,10.4,7.5,3.1,0.0678793376499341,0.487717355652205,4.64,21,0.05,119352,545,1215,34174.8,25740
"33","PR,PZ","Treasure Island",6396,1850,1894,"Stevenson, Robert Louis",25,"February 25, 2006",2,"February",2006,9.2,8.88,5.96,6192,6.8,78.59,9.2,18,3.1,0.07407747334028,0.473504718001007,4.51,18,0.05,307677,782,3625,85782.6,68267
"34","PR","Wuthering Heights",6237,1818,1848,"Bronte, Emily",19,"April 19, 2007",4,"April",2007,9.9,10.09,6.07,11639,6.4,79.6,8.8,5,3.1,0.0458548951651022,0.510068286883796,4.77,17,0.06,552364,2750,6524,156315.6,115874
"35","PR","Heart of Darkness",5875,1857,1924,"Conrad, Joseph",1,"February 1995",2,"February",1995,9,9.8,6.68,5407,7.2,72.16,8.4,13,3.1,0.0490131963008877,0.502618229822038,4.72,16,0.06,178939,1128,2309,51631.2,37902
"36","PQ","The Count of Monte Cristo, Illustrated",5861,1802,1870,"Dumas, Alexandre",1,"January, 1998",1,"January",1998,10.8,11.14,5.51,28477,7.9,70.13,9.2,13.5,3.1,0.0932419460982952,0.49753647181182,4.9,18,0.05,2248795,13018,25116,638292.6,459021
"37","PR","Gulliver's Travels into Several Remote Nations of the World",5752,1667,1745,"Swift, Jonathan",15,"June 15, 2009",6,"June",2009,19.3,10.63,6.89,9363,15.4,50.84,16.8,4,8.8,0.11480158865025,0.476622898731208,4.71,37,0.03,491558,2822,2818,144955.8,104293
"38","PS","The Awakening, and Selected Short Stories",5702,1850,1904,"Chopin, Kate",11,"March 11, 2006",3,"March",2006,8.8,10.08,6.1,6963,6.8,73.17,8,18.5,3.1,0.0958378068054441,0.482349563238396,4.82,15,0.07,308607,1688,4264,87984,63991
"39","PZ,PR","Peter Pan",5657,1860,1937,"Barrie, J. M. (James Matthew)",1,"July, 1991",7,"July",1991,8.2,9.34,5.91,4608,5.6,81.63,8,12.5,3.1,0.0908218570698009,0.524341686920635,4.64,15,0.06,220012,686,3054,60405.3,47437
"40","PT","Siddhartha",5483,1877,1962,"Hesse, Hermann",6,"April 6, 2008",4,"April",2008,11.5,10.04,6.08,3481,9.1,67.08,10.4,17,3.1,0.157482464377399,0.512986519768885,4.71,21,0.05,184183,817,1820,52859.7,39139
"41","PA,JC","The Republic",5360,-428,-348,"Plato",1,"October, 1998",10,"October",1998,14.3,10.45,6.01,14787,11.1,62.01,12.4,14,3.1,0.143131080397776,0.521514817044117,4.73,26,0.04,1022560,7886,8025,302949.9,216169
"42","E300","Autobiography of Benjamin Franklin",5169,1706,1790,"Franklin, Benjamin",28,"December 28, 2006",12,"December",2006,15.7,11.38,6.89,8971,11.8,59.98,13.2,7.5,8.8,0.143495071131844,0.466956010372587,4.89,28,0.04,371844,2885,2699,106481.7,75983
"43","PR","The Life and Adventures of Robinson Crusoe",5140,0,1731,"Defoe, Daniel",6,"April 6, 2010",4,"April",2010,24,8.55,7,6734,19.3,46.11,22,7.5,3.1,0.105300213939555,0.476918036839501,4.3,50,0.02,519352,2113,2396,153371.7,120813
"44","PR","Songs of Innocence, and Songs of Experience",5115,1757,1827,"Blake, William",25,"December 25, 2008",12,"December",2008,11.2,10.68,6.52,690,6,86.03,9.6,13.5,3.1,0.137048742907976,0.512544555949102,4.82,19,0.05,27028,24,283,6803.1,5602
"45","PQ","Essays of Michel de Montaigne — Complete",5056,1533,1592,"Montaigne, Michel de",17,"September 17, 2006",9,"September",2006,20.5,11.09,6.61,36163,15.8,49.83,17.2,11,8.8,0.143395940038925,0.525346138799003,4.79,38,0.03,2518187,17948,13566,745985.7,525749
"46","PQ","The Divine Comedy by Dante, Illustrated",4973,1265,1321,"Dante Alighieri",1,"September, 2005",9,"September",2005,13.9,11.09,6.62,12004,9.5,71.48,12,26.5,3.1,0.108512356813942,0.494424834318311,4.84,25,0.04,525296,931,4318,138464.1,108513
"47","PR","A Christmas Carol in Prose; Being a Ghost Story of Christmas",4741,1812,1870,"Dickens, Charles",11,"August 11, 2004",8,"August",2004,9.4,10.21,6.46,3668,6,80.62,8.4,13,3.1,0.102971322609116,0.499460884444913,4.79,16,0.06,136753,450,1716,37429.2,28541
"48","PR","A Study in Scarlet",4703,1859,1930,"Doyle, Arthur Conan",1,"April, 1995",4,"April",1995,9,9.8,6.4,5471,7.2,72.16,8.4,11,3.1,0.0691994261651687,0.475096710373687,4.72,16,0.06,207047,1127,2669,59502.6,43863
"49","PR","The Jungle Book",4526,1865,1936,"Kipling, Rudyard",16,"January 16, 2006",1,"January",2006,8.8,8.7,5.86,4450,5.2,88.06,8.8,9,3.1,0.0374009916360217,0.454563742510031,4.53,17,0.06,230331,484,2873,63501.3,50835
"50","PG","Crime and Punishment",4483,1821,1881,"Dostoyevsky, Fyodor",28,"March 28, 2006",3,"March",2006,7.9,9.79,5.39,14257,6,75.2,7.2,8,3.1,0.0467163021425442,0.503362543913968,4.77,13,0.07,971506,7095,14828,278055.9,203492
"51","PA","The Iliad",4443,-750,-650,"Homer",1,"September 2006",9,"September",2006,14.7,12.31,6.17,16082,9.1,72.5,11.6,5.5,3.1,0.109709392889061,0.522685410961793,5.05,24,0.04,957200,2876,7692,252473.4,189422
"52","B","Beyond Good and Evil",4347,1844,1900,"Nietzsche, Friedrich Wilhelm",1,"August, 2003",8,"August",2003,21,13.94,7.92,10092,16.9,35.95,16,11,11.2,0.112327848093617,0.53304170840983,5.28,35,0.03,330833,4344,1779,97875.9,62652
"53","PQ","Candide",4339,1694,1778,"Voltaire",27,"November 27, 2006",11,"November",2006,11.4,11.02,6.78,4984,8.3,69.11,9.6,10.5,3.1,0.146044042421317,0.507395048353095,4.88,19,0.05,174417,972,1815,49873.5,35756
"54","TJ","Steam, Its Generation and Use",4297,0,0,"Babcock & Wilcox Company",18,"September 18, 2007",9,"September",2007,14.8,15.14,5.54,8281,8.3,69.11,9.6,5.5,8.8,0.06752817391808,0.437560157587464,5.59,19,0.05,760404,8364,6885,189327.6,135920
"55","PR","Pygmalion",4287,1856,1950,"Shaw, Bernard",1,"March, 2003",3,"March",2003,7.5,9.9,6.13,4041,4.4,84.68,6.8,6.5,3.1,0.0722600479640775,0.508371020619425,4.84,12,0.08,162315,877,2747,45265.5,33552
"56","PR","The Complete Works of William Shakespeare",4166,1564,1616,"Shakespeare, William",1,"January, 1994",1,"January",1994,7.9,9.62,5.15,45905,5.2,82.65,7.6,52,3.1,0.161229500842701,0.531949440147113,4.74,14,0.07,4183870,10391,62662,1138463.1,882996
"57","PR","Oliver Twist",4066,1812,1870,"Dickens, Charles",1,"November, 1996",11,"November",1996,10.5,10.67,5.85,13659,6.4,79.6,8.8,27.5,3.1,0.0852446719561154,0.493086691605295,4.87,17,0.06,768704,3916,8818,212969.7,157966
"58","PR","Heart of Darkness",3957,1857,1924,"Conrad, Joseph",9,"January 9, 2006",1,"January",2006,9,9.8,6.68,5410,7.2,72.16,8.4,13,3.1,0.0486551654346321,0.503138854787684,4.72,16,0.06,179060,1128,2309,51667.2,37926
"59","PR","English Literature: Its History and Its Significance for the Life of the English-Speaking World",3933,1867,1952,"Long, William J. (William Joseph)",6,"January 6, 2004",1,"January",2004,15,13.12,6.31,20473,11.1,56.59,11.2,19,8.8,0.161227693729917,0.474282465087871,5.19,23,0.04,1095489,9421,8806,313941.6,210885
"60","PS","An Occurrence at Owl Creek Bridge",3850,1842,1913,"Bierce, Ambrose",19,"March 19, 2008",3,"March",2008,10.8,10.91,7.65,740,7.9,70.13,9.2,10.5,3.1,0.0531931839347094,0.477415350186537,4.86,18,0.05,18193,102,200,5162.4,3744
"61","JC","Second Treatise of Government",3842,1632,1704,"Locke, John",1,"January, 2005",1,"January",2005,27.9,10.98,7.64,4737,22,33.59,23.6,7,8.8,0.128268727846841,0.501006412730801,4.72,54,0.02,266846,2015,1043,80451,56543
"62","BS","The King James Version of the Bible",3776,0,0,"Unknown",2,"March 2, 2011",3,"March",2011,13.6,9.06,1.74,20764,9.1,77.91,12.8,7.5,3.1,0.115735265895645,0.51570964358104,4.49,27,0.04,3684178,9815,29667,991401.3,821130
"63","HQ","My Secret Life, Volumes I. to III.: 1888 Edition",3765,0,0,"Anonymous",1,"January 1, 1888",1,"January",1888,8,7.72,5.41,14622,6.8,78.59,9.2,8.5,3.1,0.0467288196555301,0.466857440464287,4.31,18,0.05,1124639,3737,14292,328711.5,260851
"64","PZ,PS","The Wonderful Wizard of Oz",3704,1856,1919,"Baum, L. Frank (Lyman Frank)",1,"July 1, 2008",7,"July",2008,8.7,8.47,5.48,2376,5.6,87.05,9.2,1.5,3.1,0.122912095212494,0.517479858012894,4.44,18,0.05,175909,205,2152,49077.9,39588
"65","JC","On Liberty",3683,1806,1873,"Mill, John Stuart",10,"January 10, 2011",1,"January",2011,20.5,12.66,7.39,6481,16.2,43.4,16.4,11,11.2,0.113760682307947,0.488220275323692,5.06,36,0.03,263422,3273,1439,80190.9,52040
"66","PR","The Hound of the Baskervilles",3677,1859,1930,"Doyle, Arthur Conan",1,"October, 2001",10,"October",2001,8,8.99,5.84,5482,5.6,81.63,8,5.5,3.1,0.0662576848498814,0.495383983104905,4.58,15,0.06,270731,1301,3768,77996.7,59122
"67","PR","Three Men in a Boat",3647,1859,1927,"Jerome, Jerome K. (Jerome Klapka)",19,"October 19, 2010",10,"October",2010,10,9.34,6.18,6772,7.2,77.57,9.6,4,3.1,0.0676791617870009,0.474995864465066,4.59,19,0.05,306930,1271,3401,86480.1,66828
"68","PR,PZ","Through the Looking-Glass",3626,1832,1898,"Carroll, Lewis",1,"February, 1991",2,"February",1991,8.3,9.45,5.84,2700,5.6,81.63,8,10.5,3.1,0.0872428439558484,0.486644805436109,4.71,15,0.07,137377,373,1938,37274.4,29170
"69","PR","The Time Machine",3599,1866,1946,"Wells, H. G. (Herbert George)",2,"October 2, 2004",10,"October",2004,9.3,9.86,6.54,4316,7.2,72.16,8.4,11,3.1,0.0543639261995466,0.463041180565416,4.73,16,0.06,152740,1011,1902,44856,32298
"70","HT","The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African: Written By Himself",3526,1745,1797,"Equiano, Olaudah",17,"March 17, 2005",3,"March",2005,14.8,9.82,6.52,7539,11.1,67.42,13.6,4.5,3.1,0.133096904613168,0.486919244097796,4.57,29,0.03,377573,2010,2809,110958.3,82531
"71","PS","The Jungle",3522,1878,1968,"Sinclair, Upton",11,"March 11, 2006",3,"March",2006,12,9.7,6.08,12320,8.7,73.51,11.2,17.5,3.1,0.040068339228926,0.464446423212174,4.6,23,0.04,686087,2947,6321,196649.1,149118
"72","PT","Josefine Mutzenbacher: oder Die Geschichte einer Wienerischen Dirne von ihr selbst erzählt",3506,1869,1945,"Salten, Felix",15,"February 15, 2010",2,"February",2010,9.3,12.22,5.8,6950,4,85.69,6.4,10.5,3.1,0.273264483447489,0.507305936073059,5.29,11,0.09,359174,986,5825,87192.9,67852
"73","PS","Walden, and On The Duty Of Civil Disobedience",3501,1817,1862,"Thoreau, Henry David",1,"January, 1995",1,"January",1995,14.5,9.93,6.67,12047,11.8,59.98,13.2,58,3.1,0.113960755809866,0.489331623603835,4.64,28,0.04,536586,3414,4113,157520.7,115646
"74","PR","Hard Times",3494,1812,1870,"Dickens, Charles",17,"March 17, 2013",3,"March",2013,9.1,10.03,6.04,10494,6,80.62,8.4,8,3.1,0.0873968738213034,0.498456970807688,4.76,16,0.06,491593,2587,6369,137771.1,103230
"75","PG","The Brothers Karamazov",3478,1821,1881,"Dostoyevsky, Fyodor",12,"February 12, 2009",2,"February",2009,8.1,9.5,5.24,20241,6.4,74.19,7.6,2.5,3.1,0.070422990498826,0.521310952467776,4.72,14,0.07,1651301,9371,23925,474897.6,350214
"76","JK","Democracy in America — Volume 1",3455,1805,1859,"Tocqueville, Alexis de",21,"January 21, 2006",1,"January",2006,18.7,12.95,6.33,13330,15.8,39,14.8,22,11.2,0.107559250972105,0.452057618478236,5.11,32,0.03,974148,13853,5911,297308.7,190451
"77","PQ","Complete Original Short Stories of Guy De Maupassant",3437,1850,1893,"Maupassant, Guy de",2,"October 2, 2004",10,"October",2004,9.8,9.86,5.41,28790,6.4,79.6,8.8,11,3.1,0.0619908627767857,0.486963590893743,4.73,17,0.06,2322316,10385,27322,659071.8,490717
"78","PE","Practical Grammar and Composition",3434,1883,0,"Wood, Thomas",11,"September 11, 2007",9,"September",2007,8.6,11.53,6.15,7927,5.2,77.23,6.4,11,3.1,0.0727273601183974,0.470775378347262,5.12,11,0.08,326211,2252,5396,88321.5,63677
"79","PR","David Copperfield",3427,1812,1870,"Dickens, Charles",1,"December, 1996",12,"December",1996,9.4,9.34,5.49,22731,6.4,79.6,8.8,3,3.1,0.1130807490997,0.502424674337103,4.64,17,0.06,1647137,8232,19863,468659.7,354823
"80","E011","Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson",3389,0,1711,"Rowlandson, Mary White",1,"March, 1997",3,"March",1997,11.8,8.13,6.2,1694,8.3,79.94,12,7,3.1,0.0663167083430559,0.490130583191726,4.33,25,0.04,87391,184,786,25089.3,20204
"81","PS","Uncle Tom's Cabin",3336,1811,1896,"Stowe, Harriet Beecher",1,"January, 1995",1,"January",1995,10.3,10.39,5.96,16310,6.8,78.59,9.2,14,3.1,0.0989122779396534,0.511637877314558,4.77,18,0.05,861422,4298,9784,238465.8,180551
"82","BF","How to Analyze People on Sight: Through the Science of Human Analysis: The Five Human Types",3334,0,0,"Benedict, Ralph Paine",4,"December 4, 2009",12,"December",2009,12.5,12.13,6.5,7140,9.9,59.64,10,8.5,8.8,0.137144867144566,0.474026024346619,5.07,20,0.05,305692,3102,3014,89637.3,60336
"83","PS","The Legend of Sleepy Hollow",3287,1783,1859,"Irving, Washington",1,"October, 1992",10,"October",1992,19.1,11.62,8.36,2311,14.6,52.87,16,10.5,8.8,0.101807287296037,0.491557266899766,4.88,35,0.03,59630,350,348,17145.9,12214
"84","PQ","Around the World in Eighty Days",3248,1828,1905,"Verne, Jules",15,"May 15, 2008",5,"May",2008,11.2,11.71,6.4,7679,7.6,71.14,8.8,57,3.1,0.0874057680512249,0.468621245773551,5.05,17,0.06,319415,2235,3591,89117.1,63266
"85","PG","Anna Karenina",3208,1828,1910,"Tolstoy, Leo, graf",1,"July 01, 1998",7,"July",1998,9.9,10.38,5.38,19834,7.6,71.14,8.8,13.5,3.1,0.100045752634425,0.511512231049438,4.82,17,0.06,1687204,10895,20362,477379.8,349769
"86","PR","The Mysterious Affair at Styles",3192,1890,1976,"Christie, Agatha",27,"July 27, 2008",7,"July",2008,7.4,10.13,5.9,6140,5.2,77.23,6.4,2.5,3.1,0.0741190304099615,0.525106319859746,4.93,11,0.09,278825,1576,5058,77225.4,56518
"87","PS","The Call of the Wild",3141,1876,1916,"London, Jack",1,"July 1, 2008",7,"July",2008,10.3,9.98,6.58,4042,7.2,77.57,9.6,17,3.1,0.0408321663225528,0.467916636586399,4.7,19,0.05,149454,612,1657,41653.8,31821
"88","PZ","Anne of Green Gables",3089,1874,1942,"Montgomery, L. M. (Lucy Maud)",1,"1992",1,"January",1992,7.9,9.1,5.62,8388,5.2,82.65,7.6,18,3.1,0.102201599411531,0.515463566497134,4.65,14,0.07,476944,1966,6924,135656.1,102511
"89","PR","Persuasion",3079,1775,1817,"Austen, Jane",5,"June 5, 2008",6,"June",2008,12.8,10.62,6.13,7119,9.9,65.05,11.2,29.5,3.1,0.148467235014337,0.522353030565846,4.76,23,0.04,396720,2450,3535,114975,83284
"90","PQ","Don Quixote",3043,1547,1616,"Cervantes Saavedra, Miguel de",27,"July 27, 2004",7,"July",2004,23.2,9.94,6.75,22548,17.7,50.17,20.4,25.5,3.1,0.141667559995324,0.519560662206728,4.54,46,0.02,1935500,7853,9144,563107.5,425899
"91","LB","Democracy and Education: An Introduction to the Philosophy of Education",3023,1859,1952,"Dewey, John",1,"March, 1997",3,"March",1997,15.3,13.7,6.08,11228,12.3,48.13,11.2,7.5,11.2,0.101590958942238,0.435331706615193,5.29,23,0.04,718535,11696,5727,220891.5,135857
"92","PR","A Portrait of the Artist as a Young Man",2979,1882,1941,"Joyce, James",1,"July, 2003",7,"July",2003,9.2,9.51,6.12,8799,6.4,79.6,8.8,7.5,3.1,0.035549064106002,0.488406307195349,4.67,17,0.06,395910,1303,4923,111563.1,84793
"93","PR","The Tragical History of Doctor Faustus: From the Quarto of 1604",2963,1564,1593,"Marlowe, Christopher",1,"January, 1997",1,"January",1997,10.1,11.71,6.82,3039,5.6,81.63,8,4.5,3.1,0.147767055531163,0.469543107302905,5.1,15,0.07,100446,428,1306,26560.8,19693
"94","PS","Ethan Frome",2951,1862,1937,"Wharton, Edith",1,"October, 2003",10,"October",2003,10.2,9.57,6.32,3826,7.2,77.57,9.6,13.5,3.1,0.0306267863553043,0.449397408746174,4.63,19,0.05,160545,594,1767,44937.9,34710
"95","PR","Paradise Lost",2942,1608,1674,"Milton, John",1,"October, 1991",10,"October",1991,27,12.32,8.15,10293,19.3,46.11,22,11,3.1,0.127223872267079,0.499997664854436,4.95,50,0.02,395670,910,1590,104795.1,79996
"96","PR","The Tragedy of Romeo and Juliet",2938,1564,1616,"Shakespeare, William",1,"November, 1997",11,"November",1997,6.6,8.92,5.94,2809,3.3,93.14,6.8,7,3.1,0.15481423194612,0.531964652777739,4.67,12,0.08,120950,195,2136,32065.2,25896
"97","HX","Utopia",2933,1478,1535,"More, Thomas, Saint",22,"April 22, 2005",4,"April",2005,27.8,10.35,7.98,4435,22.4,32.57,24,11,8.8,0.151491969997125,0.518173120415389,4.61,55,0.02,200527,998,789,59189.4,43482
"98","BL","Myths and Legends of Ancient Greece and Rome",2924,0,0,"Berens, E. M.",23,"August 23, 2007",8,"August",2007,15.4,13.18,6.62,12067,11.5,55.58,11.6,7,8.8,0.134494620528656,0.546989141518998,5.2,24,0.04,552373,4536,4303,157635,106324
"99","PR","Forbidden Fruit: Luscious and exciting story and More forbidden fruit or; Master Percy's progress in and beyond the domestic circle",2905,0,0,"Anonymous",6,"April 6, 2009",4,"April",2009,12.7,9,6.35,2999,9.5,71.48,12,26.5,3.1,0.0992385726901014,0.538747604859119,4.48,25,0.04,143755,414,1235,41028.3,32090
"100","E201","Common Sense",2884,1737,1809,"Paine, Thomas",9,"June 9, 2008",6,"June",2008,17,11.73,7.54,3366,13.8,49.49,14,12,8.8,0.0869014186640712,0.451610906384031,4.9,30,0.03,107703,906,717,31945.5,21983
"101","PR","Northanger Abbey",2871,1775,1817,"Austen, Jane",1,"April, 1994",4,"April",1994,11.8,10.62,6.2,7437,9.1,67.08,10.4,14,3.1,0.1329917032108,0.532459601205302,4.81,21,0.05,370744,2548,3651,108090,77140
