"","LoC_classifications","title","downloads","author_birthdate","author_deathdate","author_name","pub_day","pub_date_full","pub_month","pub_month_name","pub_year","difficulty.ari","difficulty.coleman","difficulty.dale","difficulty.vocabulary","difficulty.flesch.grade","difficulty.flesch.ease","difficulty.gunning","difficulty.linsear","difficulty.smog","polarity","subjectivity","avg_letter_per_word","avg_sentence_length","sentences_over_words","characters","polysyllables","sentences","syllables","words"
"529","PQ","Father Goriot",734,1799,1850,"Balzac, Honore de",1,"March, 1998",3,"March",1998,9.3,9.63,6.01,10038,6.4,79.6,8.8,13.5,3.1,0.111473534746748,0.508268199719765,4.69,17,0.06,485775,2170,6027,138978,103583
"530","PR","Le Morte d'Arthur: Volume 2",732,0,1471,"Malory, Thomas, Sir",1,"March, 1998",3,"March",1998,12.7,8.36,1.9,6708,9.1,77.91,12.8,9,3.1,0.23133317189072,0.52636603731777,4.37,27,0.04,819850,2020,6924,231940.8,187720
"531","BF","The Analysis of Mind",730,1872,1970,"Russell, Bertrand",1,"February, 2001",2,"February",2001,14.8,12.13,6.16,7222,11.9,54.56,12,21,8.8,0.0530559852434466,0.446250896609866,5.02,25,0.04,446852,5231,3539,135676.8,89040
"532","PR","The Power of Mesmerism: A Highly Erotic Narrative of Voluptuous Facts and Fancies",729,0,0,"Anonymous",6,"April 6, 2009",4,"April",2009,14.6,11.15,6.87,3106,11.1,62.01,12.4,8,3.1,0.116536338297914,0.514023735073783,4.85,26,0.04,121976,622,955,34313.4,25173
"533","","No Substitutions",729,1933,2010,"Harmon, Jim",3,"March 3, 2016",3,"March",2016,7.2,9.56,6.8,970,5.6,76.22,6.8,5.5,3.1,0.0688737396446977,0.497808884395711,4.78,12,0.08,28500,157,484,8065.8,5959
"534","","Growing Up On Big Muddy",729,1911,1997,"De Vet, Charles V. (Charles Vincent)",8,"March 8, 2016",3,"March",2016,8.7,10.78,7.41,1100,6,75.2,7.2,5,3.1,0.0841192298923513,0.440970299236195,4.94,13,0.07,27406,184,405,7785,5553
"535","BF","Omens and Superstitions of Southern India",724,1855,1935,"Thurston, Edgar",26,"March 26, 2011",3,"March",2011,12.8,11.03,6.44,10354,9.5,66.07,10.8,11.5,3.1,0.0332846954463973,0.432099066329652,4.83,22,0.04,461876,3261,4163,134550,95608
"536","PR","Lady Windermere's Fan",724,1854,1900,"Wilde, Oscar",26,"October 26, 2014",10,"October",2014,6.4,9.54,5.68,2009,4.4,79.26,5.6,3.5,3.1,0.0542581135235465,0.550640450750721,4.93,9,0.11,97694,289,2167,26986.5,19823
"537","PR","Shakespeare's Sonnets",723,1564,1616,"Shakespeare, William",1,"September, 1997",9,"September",1997,17.9,10.34,7.19,2091,11.8,70.81,15.6,26.5,3.1,0.165747317127316,0.556831477411478,4.66,34,0.03,82358,98,509,21980.7,17682
"538","","The Mentor: The Metropolitan Museum of Art, Vol. 6, Num. 9, Serial No. 157, June 15, 1918",723,0,0,"Noe, Sydney P.",1,"March 1, 2016",3,"March",2016,11.8,12.58,7.71,1955,8.7,62.68,8.8,5.5,3.1,0.215130396406123,0.476951030876576,5.2,17,0.06,49637,446,544,14044.5,9545
